source,target,relation,source_name,target_name,source_file,evidence_text,block_id,triple_id,confidence,status,evidence_count
node_e0207f5f2687,node_cef7f9bd3673,包含,FPGA加MCU的实现方案,FPGA,inputs/triples_all_reviewed.json,"在教材描述中,FPGA加MCU的实现方案通常由FPGA等部分构成。",chunk_000284,triple_pred_000088,0.9581,normal,1
node_e0207f5f2687,node_98bb0d0622de,包含,FPGA加MCU的实现方案,MCU,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,FPGA加MCU的实现方案包含MCU。",chunk_000284,triple_pred_000090,0.9646,normal,1
node_721a377e0c90,node_cef7f9bd3673,包含,FPGA加接口芯片的实现方法,FPGA,inputs/triples_all_reviewed.json,"从功能结构角度来看,FPGA加接口芯片的实现方法一般包括FPGA。",chunk_000284,triple_pred_000094,0.9667,normal,1
node_90a8a79f016b,node_1776fa32f23e,包含,KITTI数据集,GPS,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,KITTI数据集包含GPS。",chunk_000285,triple_pred_000104,0.9808,normal,1
node_90a8a79f016b,node_e0ff3f9ec6dc,包含,KITTI数据集,IMU定位系统,inputs/triples_all_reviewed.json,"从功能结构角度来看,KITTI数据集一般包括IMU定位系统。",chunk_000285,triple_pred_000106,0.9807,normal,1
node_90a8a79f016b,node_71012bd83972,包含,KITTI数据集,三维物体检测数据集,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由三维物体检测数据集等部分构成。",chunk_000285,triple_pred_000106,0.9611,normal,1
node_90a8a79f016b,node_e6c35588257b,包含,KITTI数据集,彩色摄像头,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由彩色摄像头等部分构成。",chunk_000285,triple_pred_000110,0.9768,normal,1
node_90a8a79f016b,node_ab41bf10ba91,包含,KITTI数据集,激光雷达,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由激光雷达等部分构成。",chunk_000285,triple_pred_000112,0.9769,normal,1
node_90a8a79f016b,node_9e86915dc5d5,包含,KITTI数据集,物体追踪数据集,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由物体追踪数据集等部分构成。",chunk_000286,triple_pred_000112,0.9634,normal,1
node_90a8a79f016b,node_d950408aa186,包含,KITTI数据集,立体视觉及光流数据集,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由立体视觉及光流数据集等部分构成。",chunk_000286,triple_pred_000114,0.9608,normal,1
node_90a8a79f016b,node_da9363ffca24,包含,KITTI数据集,视觉里程测量数据集,inputs/triples_all_reviewed.json,"在教材描述中,KITTI数据集通常由视觉里程测量数据集等部分构成。",chunk_000286,triple_pred_000116,0.9608,normal,1
node_90a8a79f016b,node_581da04caa59,包含,KITTI数据集,路面和车道检测数据集,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,KITTI数据集包含路面和车道检测数据集。",chunk_000286,triple_pred_000118,0.9642,normal,1
node_90a8a79f016b,node_588d0b8e846f,包含,KITTI数据集,黑白摄像头,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,KITTI数据集包含黑白摄像头。",chunk_000286,triple_pred_000122,0.9791,normal,1
node_c315c8cbcb28,node_98bb0d0622de,包含,MCU加接口芯片的实现方法,MCU,inputs/triples_all_reviewed.json,"在教材描述中,MCU加接口芯片的实现方法通常由MCU等部分构成。",chunk_000287,triple_pred_000129,0.961,normal,1
node_0f2525d91379,node_59c8a575d428,包含,MS-CNN,反卷积层,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,MS-CNN包含反卷积层。",chunk_000288,triple_pred_000133,0.9636,normal,1
node_0f2525d91379,node_42ecaa37b1f4,包含,MS-CNN,检测层,inputs/triples_all_reviewed.json,"从功能结构角度来看,MS-CNN一般包括检测层。",chunk_000288,triple_pred_000135,0.9626,normal,1
node_ed4e83b979d0,node_e8102f1c1d97,包含,云端平台,数据存储部分,inputs/triples_all_reviewed.json,云端平台包括数据存储部分、模拟系统、高清晰度地图部分和深度学习模型训练部分。,chunk_000001,triple_pred_000003,0.9389,normal,1
node_ed4e83b979d0,node_adc0c5eaeea8,包含,云端平台,模拟系统,inputs/triples_all_reviewed.json,云端平台包括数据存储部分、模拟系统、高清晰度地图部分和深度学习模型训练部分。,chunk_000001,triple_pred_000004,0.9214,normal,1
node_ed4e83b979d0,node_b364076daa4a,包含,云端平台,深度学习模型训练部分,inputs/triples_all_reviewed.json,云端平台包括数据存储部分、模拟系统、高清晰度地图部分和深度学习模型训练部分。,chunk_000001,triple_pred_000006,0.8345,normal,1
node_ed4e83b979d0,node_2c1c697b60f0,包含,云端平台,高清晰度地图部分,inputs/triples_all_reviewed.json,云端平台包括数据存储部分、模拟系统、高清晰度地图部分和深度学习模型训练部分。,chunk_000001,triple_pred_000005,0.9137,normal,1
node_272a7f9f40ee,node_e8102f1c1d97,包含,云端平台系统,数据存储部分,inputs/triples_all_reviewed.json,"从功能结构角度来看,云端平台系统一般包括数据存储部分。",chunk_000306,triple_pred_000338,0.962,normal,1
node_272a7f9f40ee,node_adc0c5eaeea8,包含,云端平台系统,模拟系统,inputs/triples_all_reviewed.json,"在教材描述中,云端平台系统通常由模拟系统等部分构成。",chunk_000306,triple_pred_000340,0.9608,normal,1
node_272a7f9f40ee,node_b364076daa4a,包含,云端平台系统,深度学习模型训练部分,inputs/triples_all_reviewed.json,"从功能结构角度来看,云端平台系统一般包括深度学习模型训练部分。",chunk_000307,triple_pred_000344,0.9637,normal,1
node_272a7f9f40ee,node_2c1c697b60f0,包含,云端平台系统,高清晰度地图部分,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,云端平台系统包含高清晰度地图部分。",chunk_000307,triple_pred_000342,0.9651,normal,1
node_b6f08c139c18,node_e0ff3f9ec6dc,包含,传感器平台,IMU定位系统,inputs/triples_all_reviewed.json,"在教材描述中,传感器平台通常由IMU定位系统等部分构成。",chunk_000311,triple_pred_000378,0.9648,normal,1
node_6f86771ef347,node_255a658244f3,包含,卷积神经网络,卷积,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,卷积神经网络包含卷积。",chunk_000293,triple_pred_000183,0.9811,normal,1
node_6f86771ef347,node_d897208b16d6,包含,卷积神经网络,最大值池化,inputs/triples_all_reviewed.json,"从功能结构角度来看,卷积神经网络一般包括最大值池化。",chunk_000293,triple_pred_000185,0.9815,normal,1
node_6f86771ef347,node_84776125aaee,包含,卷积神经网络,非线性激活函数,inputs/triples_all_reviewed.json,"从功能结构角度来看,卷积神经网络一般包括非线性激活函数。",chunk_000293,triple_pred_000187,0.9815,normal,1
node_822b536d923c,node_b88286920db7,包含,定位系统,定位模块,inputs/triples_all_reviewed.json,一个典型的车载导航定位系统通常包括定位模块、数字地图和无线通信和模块等定位模交是所有车裁导航定位系统中的关键元件。,chunk_000180,triple_pred_000073,0.9757,normal,1
node_42ed26c84053,node_be1d0626c84f,包含,控制平台,CAN总线,inputs/triples_all_reviewed.json,"控制平台是智能网联车的核心部件,控制着车辆的各种控制系统,控制平台主要包括了电子控制单元ECU与通信总线CAN两大部分：ECU主要实现控制算法,通信总线CAN主要实现ECU以及机械部件间的通信功能。",chunk_000039,triple_pred_000038,0.9618,normal,1
node_42ed26c84053,node_cd40f087e321,包含,控制平台,电子控制单元,inputs/triples_all_reviewed.json,"控制平台主要包括了电子控制单元ECU与通信总线两大部分：ECU主要实现控制算法,通信总线主要实现ECU以及机械部件间的通信功能。",chunk_000012,triple_pred_000026,0.9648,normal,1
node_42ed26c84053,node_c9c9f90c7953,包含,控制平台,通信总线,inputs/triples_all_reviewed.json,"控制平台主要包括了电子控制单元ECU与通信总线两大部分：ECU主要实现控制算法,通信总线主要实现ECU以及机械部件间的通信功能。",chunk_000012,triple_pred_000028,0.963,normal,1
node_43c163d36956,node_779b443e8659,包含,数据隐私保护技术,位置隐私保护,inputs/triples_all_reviewed.json,"在教材描述中,数据隐私保护技术通常由位置隐私保护等部分构成。",chunk_000296,triple_pred_000216,0.9815,normal,1
node_43c163d36956,node_f725545f7494,包含,数据隐私保护技术,身份隐私保护,inputs/triples_all_reviewed.json,"在教材描述中,数据隐私保护技术通常由身份隐私保护等部分构成。",chunk_000296,triple_pred_000218,0.982,normal,1
node_cd5a9a581378,node_13ed4290ae0c,包含,树莓派小车,STM32处理器,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,树莓派小车包含STM32处理器。",chunk_000297,triple_pred_000225,0.9655,normal,1
node_cd5a9a581378,node_e936faeab778,包含,树莓派小车,摄像头模块,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,树莓派小车包含摄像头模块。",chunk_000297,triple_pred_000227,0.9652,normal,1
node_cd5a9a581378,node_b61c84826c06,包含,树莓派小车,树莓派处理器,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,树莓派小车包含树莓派处理器。",chunk_000297,triple_pred_000229,0.9653,normal,1
node_cd5a9a581378,node_78bbef110d3e,包含,树莓派小车,激光雷达模块,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,树莓派小车包含激光雷达模块。",chunk_000297,triple_pred_000231,0.9655,normal,1
node_960b7a7623fc,node_dd746b88a1f1,包含,深度神经网络,输入层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000051,0.9648,normal,1
node_960b7a7623fc,node_6f5b73f1569a,包含,深度神经网络,输出层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000053,0.9663,normal,1
node_960b7a7623fc,node_7c13f60c302a,包含,深度神经网络,隐藏层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000052,0.9649,normal,1
node_ae2a13e2376a,node_18f3abcde527,包含,激光雷达系统,信号处理模块,inputs/triples_all_reviewed.json,"从功能结构角度来看,激光雷达系统一般包括信号处理模块。",chunk_000299,triple_pred_000250,0.9662,normal,1
node_ae2a13e2376a,node_6ffe8f0be56e,包含,激光雷达系统,接收器,inputs/triples_all_reviewed.json,"从功能结构角度来看,激光雷达系统一般包括接收器。",chunk_000299,triple_pred_000252,0.9665,normal,1
node_ae2a13e2376a,node_169cb8967940,包含,激光雷达系统,激光发射器,inputs/triples_all_reviewed.json,"从功能结构角度来看,激光雷达系统一般包括激光发射器。",chunk_000299,triple_pred_000254,0.9675,normal,1
node_1a82ef75bd6c,node_42a901e9c6f5,包含,目标视觉跟踪,判别模型方法,inputs/triples_all_reviewed.json,"在教材描述中,目标视觉跟踪通常由判别模型方法等部分构成。",chunk_000299,triple_pred_000260,0.9791,normal,1
node_1a82ef75bd6c,node_387447a07016,包含,目标视觉跟踪,生成模型方法,inputs/triples_all_reviewed.json,"从功能结构角度来看,目标视觉跟踪一般包括生成模型方法。",chunk_000299,triple_pred_000262,0.9809,normal,1
node_4cc38cf8a49d,node_dd746b88a1f1,包含,神经网络,输入层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000059,0.9775,normal,1
node_4cc38cf8a49d,node_6f5b73f1569a,包含,神经网络,输出层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000061,0.9779,normal,1
node_4cc38cf8a49d,node_7c13f60c302a,包含,神经网络,隐藏层,inputs/triples_all_reviewed.json,"从DNN按不同层的位置划分,DNN内部的神经网络层可以分为三类,输入层,隐藏层和输出层。",chunk_000042,triple_pred_000060,0.9797,normal,1
node_36484d3eaa0c,node_1d6d610d4161,包含,立体视觉,图像校正,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,立体视觉包含图像校正。",chunk_000300,triple_pred_000265,0.981,normal,1
node_36484d3eaa0c,node_c4c2c364b388,包含,立体视觉,相机标定,inputs/triples_all_reviewed.json,"在教材描述中,立体视觉通常由相机标定等部分构成。",chunk_000300,triple_pred_000266,0.9795,normal,1
node_36484d3eaa0c,node_fe336d96cc6a,包含,立体视觉,立体匹配,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,立体视觉包含立体匹配。",chunk_000300,triple_pred_000267,0.9819,normal,1
node_46c3451f6382,node_6e6b9145ae12,包含,自动编解码机,编码机,inputs/triples_all_reviewed.json,"从功能结构角度来看,自动编解码机一般包括编码机。",chunk_000301,triple_pred_000268,0.9675,normal,1
node_46c3451f6382,node_86865cacd2fa,包含,自动编解码机,解码机,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,自动编解码机包含解码机。",chunk_000301,triple_pred_000270,0.968,normal,1
node_3336c0de9caa,node_9f0090fb3e63,包含,车联网安全认证,匿名认证,inputs/triples_all_reviewed.json,"从功能结构角度来看,车联网安全认证一般包括匿名认证。",chunk_000301,triple_pred_000278,0.9806,normal,1
node_3336c0de9caa,node_45951d5ea432,包含,车联网安全认证,基于区块链的认证,inputs/triples_all_reviewed.json,"从功能结构角度来看,车联网安全认证一般包括基于区块链的认证。",chunk_000301,triple_pred_000280,0.9806,normal,1
node_3336c0de9caa,node_31ae5b44c9e4,包含,车联网安全认证,群组认证,inputs/triples_all_reviewed.json,"在教材描述中,车联网安全认证通常由群组认证等部分构成。",chunk_000301,triple_pred_000282,0.9819,normal,1
node_3336c0de9caa,node_e1f25857b230,包含,车联网安全认证,跨域认证,inputs/triples_all_reviewed.json,"从功能结构角度来看,车联网安全认证一般包括跨域认证。",chunk_000302,triple_pred_000284,0.9803,normal,1
node_cddfa9225f1b,node_56b2186946fd,包含,车联网终端安全,车载总线安全,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,车联网终端安全包含车载总线安全。",chunk_000302,triple_pred_000286,0.9826,normal,1
node_cddfa9225f1b,node_50cdd0e46f60,包含,车联网终端安全,车载系统安全,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,车联网终端安全包含车载系统安全。",chunk_000302,triple_pred_000288,0.9822,normal,1
node_03bcc1978229,node_43c163d36956,包含,车联网路侧安全,数据隐私保护技术,inputs/triples_all_reviewed.json,"在教材描述中,车联网路侧安全通常由数据隐私保护技术等部分构成。",chunk_000302,triple_pred_000290,0.982,normal,1
node_03bcc1978229,node_a4de10226293,包含,车联网路侧安全,网络通信安全防护技术,inputs/triples_all_reviewed.json,"在教材描述中,车联网路侧安全通常由网络通信安全防护技术等部分构成。",chunk_000302,triple_pred_000292,0.982,normal,1
node_03bcc1978229,node_329cd4571236,包含,车联网路侧安全,身份与认证技术,inputs/triples_all_reviewed.json,"从功能结构角度来看,车联网路侧安全一般包括身份与认证技术。",chunk_000302,triple_pred_000294,0.9827,normal,1
node_c391db2f2559,node_63d3367343ef,包含,车路协同基础平台,路侧单元,inputs/triples_all_reviewed.json,"从功能结构角度来看,车路协同基础平台一般包括路侧单元。",chunk_000302,triple_pred_000294,0.9648,normal,1
node_c391db2f2559,node_0ff7fc907501,包含,车路协同基础平台,车载单元,inputs/triples_all_reviewed.json,"从功能结构角度来看,车路协同基础平台一般包括车载单元。",chunk_000303,triple_pred_000296,0.9655,normal,1
node_c391db2f2559,node_e152d06ae689,包含,车路协同基础平台,通信平台,inputs/triples_all_reviewed.json,"在教材描述中,车路协同基础平台通常由通信平台等部分构成。",chunk_000303,triple_pred_000298,0.9622,normal,1
node_0ff7fc907501,node_b88286920db7,包含,车载单元,定位模块,inputs/triples_all_reviewed.json,"在教材描述中,车载单元通常由定位模块等部分构成。",chunk_000303,triple_pred_000300,0.9635,normal,1
node_0ff7fc907501,node_6ed29a895517,包含,车载单元,通信模块,inputs/triples_all_reviewed.json,"在教材描述中,车载单元通常由通信模块等部分构成。",chunk_000303,triple_pred_000301,0.9635,normal,1
node_4f0b463194a8,node_06416897d67f,包含,车载客户端系统,ROS平台,inputs/triples_all_reviewed.json,车载客户端系统包括机器人操作系统(ROS)和硬件平台；,chunk_000001,triple_pred_000001,0.9687,normal,1
node_4f0b463194a8,node_1f33c8a55c4c,包含,车载客户端系统,硬件平台,inputs/triples_all_reviewed.json,车载客户端系统包括机器人操作系统(ROS)和硬件平台；,chunk_000001,triple_pred_000002,0.9673,normal,1
node_50cdd0e46f60,node_422f0865e57e,包含,车载系统安全,车载入侵检测技术,inputs/triples_all_reviewed.json,"在教材描述中,车载系统安全通常由车载入侵检测技术等部分构成。",chunk_000303,triple_pred_000305,0.9823,normal,1
node_50cdd0e46f60,node_b16d40583866,包含,车载系统安全,车载加密技术,inputs/triples_all_reviewed.json,"在教材描述中,车载系统安全通常由车载加密技术等部分构成。",chunk_000303,triple_pred_000307,0.9827,normal,1
node_50cdd0e46f60,node_37744c951bf2,包含,车载系统安全,车载安全审计技术,inputs/triples_all_reviewed.json,"从功能结构角度来看,车载系统安全一般包括车载安全审计技术。",chunk_000303,triple_pred_000309,0.9812,normal,1
node_50cdd0e46f60,node_f6da16092fbb,包含,车载系统安全,车载网络安全认证技术,inputs/triples_all_reviewed.json,"在教材描述中,车载系统安全通常由车载网络安全认证技术等部分构成。",chunk_000303,triple_pred_000311,0.9815,normal,1
node_50cdd0e46f60,node_f04a9c386c94,包含,车载系统安全,车载防火墙技术,inputs/triples_all_reviewed.json,"从功能结构角度来看,车载系统安全一般包括车载防火墙技术。",chunk_000304,triple_pred_000313,0.9822,normal,1
node_dd4de0f9ecd1,node_f4fcf01128a9,包含,马尔可夫决策过程,动作集合,inputs/triples_all_reviewed.json,"从功能结构角度来看,马尔可夫决策过程一般包括动作集合。",chunk_000305,triple_pred_000320,0.9649,normal,1
node_dd4de0f9ecd1,node_b99505a71127,包含,马尔可夫决策过程,回报函数,inputs/triples_all_reviewed.json,"在教材描述中,马尔可夫决策过程通常由回报函数等部分构成。",chunk_000305,triple_pred_000322,0.9601,normal,1
node_dd4de0f9ecd1,node_4b507ce3369e,包含,马尔可夫决策过程,状态转移概率,inputs/triples_all_reviewed.json,"从智能网联汽车系统结构组成来看,马尔可夫决策过程包含状态转移概率。",chunk_000305,triple_pred_000324,0.963,normal,1
node_dd4de0f9ecd1,node_eb0700f83df3,包含,马尔可夫决策过程,状态集合,inputs/triples_all_reviewed.json,"在教材描述中,马尔可夫决策过程通常由状态集合等部分构成。",chunk_000305,triple_pred_000326,0.9609,normal,1
node_b8020ad68ba2,node_6af99bf19124,是一种,Caffe,深度学习功能性平台,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,Caffe是一种深度学习功能性平台。",chunk_000283,triple_pred_000085,0.9684,normal,1
node_8ca53ec8c2c0,node_c6475e9bc9bd,是一种,DQN,基于价值的方法,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,DQN属于基于价值的方法。",chunk_000283,triple_pred_000086,0.9686,normal,1
node_e0207f5f2687,node_ffa5de0ebe79,是一种,FPGA加MCU的实现方案,计算平台实现方法,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,FPGA加MCU的实现方案是一种计算平台实现方法。",chunk_000284,triple_pred_000087,0.9668,normal,1
node_721a377e0c90,node_ffa5de0ebe79,是一种,FPGA加接口芯片的实现方法,计算平台实现方法,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,FPGA加接口芯片的实现方法属于计算平台实现方法。",chunk_000284,triple_pred_000092,0.96,normal,1
node_b78619cfe855,node_f4da6a9be189,是一种,Fast R-CNN,两段式算法,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,Fast R-CNN是一种两段式算法。",chunk_000284,triple_pred_000096,0.972,normal,1
node_65c5769b3276,node_0a5f360e1f3b,是一种,FlexRay协议,通信协议,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,FlexRay协议属于通信协议。",chunk_000308,triple_pred_000362,0.9651,normal,1
node_86c7b897c9b7,node_87144784e8e9,是一种,Keras,深度学习抽象化平台,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,Keras是一种深度学习抽象化平台。",chunk_000286,triple_pred_000122,0.9698,normal,1
node_730789ef6710,node_0a5f360e1f3b,是一种,LIN协议,通信协议,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,LIN协议是一种通信协议。",chunk_000308,triple_pred_000360,0.9701,normal,1
node_1c5ef6deca8d,node_6a6fd3350ee8,是一种,MADDPG,CTDE范式,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,MADDPG属于CTDE范式。",chunk_000287,triple_pred_000123,0.9671,normal,1
node_d5021f4748ff,node_6a6fd3350ee8,是一种,MAPPO,CTDE范式,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,MAPPO是一种CTDE范式。",chunk_000287,triple_pred_000125,0.9731,normal,1
node_d5021f4748ff,node_dd18adc5d279,是一种,MAPPO,基于策略的方法,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,MAPPO属于基于策略的方法。",chunk_000287,triple_pred_000126,0.9695,normal,1
node_c315c8cbcb28,node_ffa5de0ebe79,是一种,MCU加接口芯片的实现方法,计算平台实现方法,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,MCU加接口芯片的实现方法是一种计算平台实现方法。",chunk_000287,triple_pred_000128,0.9657,normal,1
node_361d42992828,node_0a5f360e1f3b,是一种,MOST总线,通信协议,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,MOST总线属于通信协议。",chunk_000308,triple_pred_000361,0.9618,normal,1
node_0f2525d91379,node_44005ff12c84,是一种,MS-CNN,多尺度目标检测器,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,MS-CNN属于多尺度目标检测器。",chunk_000287,triple_pred_000131,0.9655,normal,1
node_f0a6dacedd48,node_1e476ef3ebd8,是一种,MV3D,特征级融合方法,inputs/triples_all_reviewed.json,"因此很多方案将这两个互补的传感器结合起来.MV3D是一种经典的特征级融合方法,该方法如图所示,先在激光雷达鸟瞰数据中通过设计神经网络结构的自编码器生成3D候选对象。",chunk_000038,triple_pred_000034,0.7602,normal,1
node_bf863777e6ef,node_dd18adc5d279,是一种,PPO,基于策略的方法,inputs/triples_all_reviewed.json,"从智能网联汽车技术分类角度来看,PPO属于基于策略的方法。",chunk_000288,triple_pred_000139,0.967,normal,1
node_e6797fd4fd08,node_26adf0f9d2a4,是一种,PX2,GPU计算解决方案,inputs/triples_all_reviewed.json,"在智能网联汽车相关研究中,PX2是一种GPU计算解决方案。",chunk_000288,triple_pred_000140,0.9628,normal,1
